ClientID,Age,Location,Gender,DatePremierAchat,DateDernierAchat,MontantTotalDepense,FrequenceAchats,PanierMoyen,Canal,CAC_Estime,Newsletter,ScoreSatisfaction,DerniereVisiteSite,CategoriePreferee,ProduitsDifferentsAchetes,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Cluster,Segment_Label
CLIENT_0035,33,Barbenec,M,2023-01-29,2023-11-05,46.24,3,15.41,Social,15,False,4,764,Alimentation,2,766,3,46.24,1,3,2,132,1,A risque
CLIENT_0036,42,Meunier,F,2024-09-23,2024-11-06,31.5,4,7.88,Direct,0,True,4,393,Mode,2,399,4,31.5,2,4,1,241,1,A risque
CLIENT_0037,52,BonninVille,M,2024-04-19,2024-10-16,1674.37,4,418.59,SEA,25,False,5,403,Loisirs,4,420,4,1674.37,2,4,5,245,0,A risque
CLIENT_0038,45,Perret,M,2024-03-14,2024-07-18,108.37,4,27.09,Social,15,False,4,485,Alimentation,3,510,4,108.37,2,4,3,243,1,A risque
CLIENT_0039,47,BonninVille,M,2024-11-26,2025-04-03,31.66,4,7.92,Direct,0,True,3,223,Électronique,10,251,4,31.66,3,4,1,341,1,A risque
CLIENT_0040,47,Sanchez,F,2023-03-07,2023-03-26,51.5,3,17.17,Direct,0,True,5,968,Mode,7,990,3,51.5,1,3,2,132,1,A risque
CLIENT_0041,66,Barbenec,M,2023-10-20,2025-08-27,99.07,2,49.53,Social,15,True,4,90,Électronique,7,105,2,99.07,4,1,3,413,4,Dormant
CLIENT_0042,37,Gimenez,M,2024-05-02,2024-07-21,60.41,4,15.1,Social,15,False,4,492,Électronique,3,507,4,60.41,2,4,2,242,1,A risque
CLIENT_0043,18,Deschamps,F,2025-03-17,2025-10-09,58.53,1,58.53,SEA,25,True,2,55,Loisirs,8,62,1,58.53,4,1,2,412,4,Dormant
CLIENT_0044,18,Leconte-sur-Masson,F,2024-09-30,2025-12-09,849.75,2,424.88,Social,15,False,5,0,Mode,8,1,2,849.75,5,1,5,515,2,Potentiel
CLIENT_0045,58,Meunier,F,2023-10-23,2023-12-28,276.56,3,92.19,Reference,5,True,4,708,Maison,3,713,3,276.56,1,3,4,134,1,A risque
CLIENT_0046,37,Peronnec,M,2022-12-21,2023-04-17,477.22,4,119.31,Social,15,True,4,938,Électronique,5,968,4,477.22,1,4,5,145,1,A risque
CLIENT_0047,45,CaronBourg,F,2025-09-27,2025-12-09,124.62,3,41.54,Social,15,True,3,0,Maison,5,1,3,124.62,5,3,3,533,3,Loyal
CLIENT_0048,49,Leconte-sur-Masson,M,2024-10-05,2025-12-09,78.65,3,26.22,Direct,0,True,2,0,Électronique,1,1,3,78.65,5,3,3,533,3,Loyal
CLIENT_0049,50,Sainte Christophe,F,2025-08-03,2025-12-09,155.71,1,155.71,SEA,25,False,2,0,Électronique,4,1,1,155.71,5,1,4,514,2,Potentiel
CLIENT_0050,47,Techer-la-Forêt,M,2025-03-12,2025-12-09,31.75,5,6.35,Email,8,False,5,0,Loisirs,8,1,5,31.75,5,5,1,551,3,Loyal
CLIENT_0051,75,Sanchez,F,2023-10-13,2024-08-15,215.84,2,107.92,SEA,25,True,4,471,Mode,10,482,2,215.84,2,1,4,214,4,Dormant
CLIENT_0052,42,Delorme,M,2024-02-29,2024-04-01,1968.28,1,1968.28,SEA,25,False,5,600,Loisirs,10,618,1,1968.28,2,1,5,215,0,A risque
CLIENT_0053,30,Leconte-sur-Masson,F,2024-12-10,2025-04-01,46.12,3,15.37,Direct,0,False,3,226,Électronique,3,253,3,46.12,3,3,2,332,1,A risque
CLIENT_0054,52,Sainte Genevièvenec,F,2024-11-24,2025-12-09,81.8,2,40.9,Email,8,True,1,0,Loisirs,6,1,2,81.8,5,1,3,513,2,Potentiel
CLIENT_0055,29,Hubert,M,2023-01-06,2023-07-09,116.67,3,38.89,Email,8,True,5,854,Alimentation,8,885,3,116.67,1,3,3,133,1,A risque
CLIENT_0056,38,Gimenez,M,2023-06-07,2024-02-28,53.6,4,13.4,Email,8,False,4,647,Électronique,8,651,4,53.6,1,4,2,142,1,A risque
CLIENT_0057,18,Barbenec,F,2025-11-11,2025-12-09,244.45,1,244.45,Email,8,True,3,0,Alimentation,8,1,1,244.45,5,1,4,514,2,Potentiel
CLIENT_0058,41,Baudry,M,2025-03-23,2025-04-24,47.73,5,9.55,SEA,25,True,3,214,Mode,7,230,5,47.73,3,5,2,352,1,A risque
CLIENT_0059,60,BonninVille,F,2024-03-11,2024-08-22,1237.65,3,412.55,Social,15,True,5,463,Loisirs,5,475,3,1237.65,2,3,5,235,0,A risque
CLIENT_0060,57,CaronBourg,F,2025-04-13,2025-12-09,373.5,3,124.5,Direct,0,True,4,0,Alimentation,1,1,3,373.5,5,3,5,535,3,Loyal
CLIENT_0061,44,Grenier,M,2025-07-10,2025-12-09,30809.27,2,15404.64,Social,15,True,5,0,Maison,10,1,2,30809.27,5,1,5,515,0,A risque
CLIENT_0062,18,Gimenez,M,2023-06-15,2023-08-23,30.56,4,7.64,SEA,25,False,4,833,Mode,1,840,4,30.56,1,4,1,141,1,A risque
CLIENT_0063,18,Barbenec,F,2023-01-24,2023-03-27,35.13,2,17.57,Email,8,True,2,985,Électronique,7,989,2,35.13,1,1,1,111,4,Dormant
CLIENT_0064,48,Sanchez,F,2023-09-29,2023-12-11,31.63,2,15.81,Reference,5,True,3,717,Alimentation,2,730,2,31.63,1,1,1,111,4,Dormant
CLIENT_0065,32,CaronBourg,M,2024-09-13,2025-09-14,137.17,1,137.17,Email,8,True,5,74,Loisirs,3,87,1,137.17,4,1,4,414,4,Dormant
CLIENT_0066,49,BonninVille,M,2023-03-11,2023-04-24,4456.04,2,2228.02,Social,15,False,4,953,Maison,1,961,2,4456.04,1,1,5,115,0,A risque
CLIENT_0067,59,Techer-la-Forêt,F,2024-06-21,2024-09-04,45575.61,1,45575.61,Social,15,False,5,454,Électronique,7,462,1,45575.61,2,1,5,215,0,A risque
CLIENT_0068,21,Maillard,F,2023-10-01,2023-12-04,36.79,3,12.26,Social,15,True,5,710,Mode,7,737,3,36.79,1,3,1,131,1,A risque
CLIENT_0069,41,Baudry,F,2025-09-16,2025-12-09,59.94,1,59.94,Social,15,True,3,0,Loisirs,6,1,1,59.94,5,1,2,512,2,Potentiel
CLIENT_0070,55,Deschamps,M,2025-03-29,2025-04-05,900.39,1,900.39,SEA,25,False,3,235,Mode,3,249,1,900.39,3,1,5,315,4,Dormant
CLIENT_0071,39,Deschamps,F,2024-09-29,2024-10-28,59.42,2,29.71,Social,15,True,3,384,Mode,4,408,2,59.42,2,1,2,212,4,Dormant
CLIENT_0072,50,Deschamps,M,2025-10-21,2025-11-25,68.68,3,22.89,Reference,5,True,5,8,Alimentation,2,15,3,68.68,4,3,3,433,3,Loyal
CLIENT_0073,57,Grenier,F,2025-05-30,2025-08-13,42.31,2,21.16,Social,15,False,5,102,Électronique,3,119,2,42.31,4,1,1,411,4,Dormant
CLIENT_0074,49,Peronnec,M,2023-11-08,2023-12-28,503.23,2,251.62,Direct,0,True,5,699,Maison,2,713,2,503.23,1,1,5,115,4,Dormant
CLIENT_0075,18,CaronBourg,M,2023-05-10,2024-09-19,176.98,1,176.98,Reference,5,True,3,432,Alimentation,5,447,1,176.98,2,1,4,214,4,Dormant
CLIENT_0076,40,Meunier,F,2023-04-05,2025-12-09,33.35,8,4.17,Social,15,False,3,0,Électronique,9,1,8,33.35,5,5,1,551,3,Loyal
CLIENT_0077,22,Peronnec,F,2023-09-07,2023-10-29,1040.14,1,1040.14,SEA,25,False,4,763,Alimentation,5,773,1,1040.14,1,1,5,115,4,Dormant
CLIENT_0078,29,Leconte-sur-Masson,F,2024-06-01,2024-06-03,52.72,5,10.54,Direct,0,False,4,548,Alimentation,7,555,5,52.72,2,5,2,252,1,A risque
CLIENT_0079,48,Sanchez,F,2023-07-29,2023-09-25,349.62,4,87.41,Direct,0,True,4,783,Alimentation,2,807,4,349.62,1,4,4,144,1,A risque
CLIENT_0080,45,Maillard,M,2024-12-20,2025-07-09,348.49,4,87.12,Social,15,True,4,147,Maison,4,154,4,348.49,3,4,4,344,1,A risque
CLIENT_0081,46,Deschamps,F,2023-05-04,2025-12-09,31.63,7,4.52,Social,15,False,4,0,Maison,3,1,7,31.63,5,5,1,551,3,Loyal
CLIENT_0082,41,Sainte Margotboeuf,F,2024-07-09,2025-12-09,42.23,6,7.04,Direct,0,True,3,0,Mode,3,1,6,42.23,5,5,1,551,3,Loyal
CLIENT_0083,37,Barbenec,M,2023-11-19,2024-05-06,43.56,1,43.56,Social,15,True,2,561,Mode,8,583,1,43.56,2,1,2,212,4,Dormant
CLIENT_0084,44,Gimenez,F,2023-11-25,2024-04-24,13758.87,7,1965.55,Email,8,True,5,581,Loisirs,4,595,7,13758.87,2,5,5,255,0,A risque
CLIENT_0085,57,Hubert,F,2024-05-03,2025-12-09,34.63,4,8.66,Social,15,False,3,0,Mode,10,1,4,34.63,5,4,1,541,3,Loyal
CLIENT_0086,60,Techer-la-Forêt,M,2025-10-13,2025-12-09,234.85,5,46.97,Reference,5,False,5,0,Mode,6,1,5,234.85,5,5,4,554,3,Loyal
CLIENT_0087,71,CaronBourg,F,2025-09-11,2025-09-29,48.15,2,24.07,SEA,25,False,3,67,Maison,8,72,2,48.15,4,1,2,412,4,Dormant
CLIENT_0088,37,BonninVille,F,2023-10-14,2023-12-30,13843.86,3,4614.62,SEA,25,True,5,709,Loisirs,1,711,3,13843.86,1,3,5,135,0,A risque
CLIENT_0089,45,Deschamps,M,2024-10-29,2025-12-09,32.12,7,4.59,Email,8,True,4,0,Mode,6,1,7,32.12,5,5,1,551,3,Loyal
CLIENT_0090,20,Hubert,F,2025-03-26,2025-12-09,71.34,4,17.84,Direct,0,True,2,0,Loisirs,8,1,4,71.34,5,4,3,543,3,Loyal
CLIENT_0091,67,Maillard,F,2025-01-01,2025-06-03,776.08,1,776.08,SEA,25,True,5,178,Loisirs,7,190,1,776.08,3,1,5,315,4,Dormant
CLIENT_0092,18,Baudry,F,2024-05-19,2024-09-19,568.81,3,189.6,Social,15,True,4,426,Loisirs,9,447,3,568.81,2,3,5,235,0,A risque
CLIENT_0093,18,Sainte Margotboeuf,M,2023-10-29,2024-04-23,836.32,2,418.16,Direct,0,False,5,587,Maison,4,596,2,836.32,2,1,5,215,0,A risque
CLIENT_0094,42,Baudry,F,2025-09-03,2025-10-06,129.76,4,32.44,Social,15,True,3,36,Électronique,7,65,4,129.76,4,4,4,444,1,A risque
CLIENT_0095,54,Hubert,M,2025-07-09,2025-07-18,55.4,4,13.85,SEA,25,False,1,138,Maison,6,145,4,55.4,3,4,2,342,1,A risque
CLIENT_0096,52,Sainte Genevièvenec,F,2025-03-17,2025-12-09,840.37,4,210.09,Social,15,False,4,0,Maison,5,1,4,840.37,5,4,5,545,3,Loyal
CLIENT_0097,18,Perret,F,2024-12-26,2025-12-09,307.34,1,307.34,SEA,25,True,5,0,Maison,6,1,1,307.34,5,1,4,514,2,Potentiel
CLIENT_0098,57,Techer-la-Forêt,F,2023-07-20,2024-01-07,512.48,2,256.24,Direct,0,True,3,691,Mode,7,703,2,512.48,1,1,5,115,4,Dormant
CLIENT_0099,18,Delorme,M,2024-08-10,2024-08-14,131.01,3,43.67,Email,8,True,5,475,Mode,6,483,3,131.01,2,3,4,234,1,A risque
CLIENT_0100,18,Leconte-sur-Masson,M,2024-04-17,2025-06-03,243.76,4,60.94,Email,8,False,4,186,Alimentation,3,190,4,243.76,3,4,4,344,1,A risque
CLIENT_0101,28,Leconte-sur-Masson,F,2023-12-06,2025-12-09,106.44,2,53.22,Email,8,True,4,0,Loisirs,10,1,2,106.44,5,1,3,513,2,Potentiel
CLIENT_0102,37,Sainte Margotboeuf,F,2025-05-21,2025-09-03,415.52,3,138.51,Direct,0,False,4,86,Maison,10,98,3,415.52,4,3,5,435,0,A risque
CLIENT_0103,43,CaronBourg,F,2024-02-09,2024-07-17,635.27,4,158.82,Social,15,False,5,483,Mode,9,511,4,635.27,2,4,5,245,0,A risque
CLIENT_0104,43,Delorme,M,2025-06-08,2025-12-09,821.96,1,821.96,SEA,25,True,4,0,Alimentation,7,1,1,821.96,5,1,5,515,2,Potentiel
CLIENT_0105,18,Barbenec,M,2024-06-13,2025-12-09,38.31,6,6.39,SEA,25,True,4,0,Mode,7,1,6,38.31,5,5,1,551,3,Loyal
CLIENT_0106,28,Meunier,M,2024-09-26,2025-02-10,60.51,4,15.13,SEA,25,False,4,295,Mode,3,303,4,60.51,3,4,2,342,1,A risque
CLIENT_0107,18,Baudry,F,2022-12-17,2023-11-07,116.88,2,58.44,SEA,25,True,4,760,Maison,9,764,2,116.88,1,1,3,113,4,Dormant
CLIENT_0108,35,Deschamps,F,2023-12-12,2025-04-01,2362.37,2,1181.18,Email,8,False,4,244,Loisirs,1,253,2,2362.37,3,1,5,315,0,A risque
CLIENT_0109,41,Techer-la-Forêt,F,2023-09-04,2023-10-15,553.55,2,276.77,Social,15,True,5,769,Maison,2,787,2,553.55,1,1,5,115,4,Dormant
CLIENT_0110,18,CaronBourg,M,2024-09-30,2025-03-27,138.49,5,27.7,Email,8,False,3,247,Mode,3,258,5,138.49,3,5,4,354,1,A risque
CLIENT_0111,45,Barbenec,F,2025-04-21,2025-12-09,57.41,1,57.41,Social,15,True,5,0,Mode,4,1,1,57.41,5,1,2,512,2,Potentiel
CLIENT_0112,50,Perret,M,2024-12-31,2025-10-06,38.51,6,6.42,Email,8,True,3,60,Électronique,4,65,6,38.51,4,5,1,451,1,A risque
CLIENT_0113,43,Barbenec,F,2025-08-15,2025-12-09,45.01,3,15.0,Email,8,False,2,0,Électronique,2,1,3,45.01,5,3,2,532,3,Loyal
CLIENT_0114,64,Sanchez,M,2025-06-05,2025-06-29,381.95,1,381.95,Email,8,False,4,163,Loisirs,4,164,1,381.95,3,1,5,315,4,Dormant
CLIENT_0115,18,Deschamps,F,2024-08-30,2024-10-11,1129.26,2,564.63,Email,8,True,5,411,Maison,6,425,2,1129.26,2,1,5,215,0,A risque
CLIENT_0116,36,Techer-la-Forêt,M,2023-11-24,2024-01-27,149.79,3,49.93,SEA,25,True,3,679,Électronique,3,683,3,149.79,1,3,4,134,1,A risque
CLIENT_0117,52,Deschamps,F,2024-06-23,2024-08-10,57.71,4,14.43,Social,15,False,2,473,Électronique,9,487,4,57.71,2,4,2,242,1,A risque
CLIENT_0118,44,CaronBourg,M,2025-09-16,2025-12-09,2542.51,4,635.63,Direct,0,True,5,0,Électronique,7,1,4,2542.51,5,4,5,545,0,A risque
CLIENT_0119,22,Sainte Margotboeuf,M,2025-10-18,2025-10-29,294.89,3,98.3,Email,8,True,4,33,Mode,4,42,3,294.89,4,3,4,434,1,A risque
CLIENT_0120,58,Maillard,M,2025-06-02,2025-07-03,181.4,2,90.7,Social,15,True,3,132,Électronique,8,160,2,181.4,3,1,4,314,4,Dormant
CLIENT_0121,49,Perret,M,2025-07-29,2025-12-09,359.45,2,179.72,Social,15,False,5,0,Loisirs,8,1,2,359.45,5,1,4,514,2,Potentiel
CLIENT_0122,39,Deschamps,F,2025-06-21,2025-07-04,36.49,2,18.25,SEA,25,True,2,133,Électronique,2,159,2,36.49,3,1,1,311,4,Dormant
CLIENT_0123,36,Barbenec,M,2025-01-30,2025-12-09,807.9,6,134.65,SEA,25,False,5,0,Alimentation,6,1,6,807.9,5,5,5,555,3,Loyal
CLIENT_0124,27,Grenier,F,2023-11-20,2023-12-19,8060.51,2,4030.26,Social,15,True,5,717,Maison,1,722,2,8060.51,1,2,5,125,0,A risque
CLIENT_0125,18,BonninVille,M,2023-04-28,2024-02-25,326.21,2,163.1,SEA,25,True,4,648,Alimentation,1,654,2,326.21,1,2,4,124,4,Dormant
CLIENT_0126,27,Peronnec,F,2024-04-10,2025-05-12,147.87,3,49.29,Social,15,True,3,186,Mode,6,212,3,147.87,3,3,4,334,1,A risque
CLIENT_0127,52,Deschamps,M,2023-06-01,2023-12-09,95.9,1,95.9,Direct,0,False,5,722,Alimentation,10,732,1,95.9,1,1,3,113,4,Dormant
CLIENT_0128,18,Sainte Christophe,M,2024-01-31,2024-06-10,418.19,2,209.09,Social,15,False,3,523,Maison,10,548,2,418.19,2,2,5,225,4,Dormant
CLIENT_0129,67,Perret,F,2025-02-17,2025-12-09,94.69,1,94.69,Direct,0,True,5,0,Mode,6,1,1,94.69,5,1,3,513,2,Potentiel
CLIENT_0130,48,BonninVille,F,2025-07-28,2025-12-09,46.97,1,46.97,Email,8,False,3,0,Alimentation,9,1,1,46.97,5,1,2,512,2,Potentiel
CLIENT_0131,42,Gimenez,F,2023-08-02,2023-09-09,72.26,4,18.07,SEA,25,True,4,805,Alimentation,1,823,4,72.26,1,4,3,143,1,A risque
CLIENT_0132,65,Techer-la-Forêt,M,2023-08-05,2023-08-23,730.45,2,365.23,Reference,5,True,5,819,Mode,5,840,2,730.45,1,2,5,125,0,A risque
CLIENT_0133,53,Maillard,M,2024-08-18,2025-09-14,336.45,2,168.22,Email,8,False,5,63,Électronique,4,87,2,336.45,4,2,4,424,4,Dormant
CLIENT_0134,25,Barbenec,F,2024-10-29,2025-04-15,669.25,1,669.25,Reference,5,False,4,228,Loisirs,2,239,1,669.25,3,1,5,315,4,Dormant
CLIENT_0135,18,Maillard,F,2025-11-15,2025-12-09,7433.77,2,3716.89,Direct,0,True,5,0,Électronique,5,1,2,7433.77,5,2,5,525,0,A risque
CLIENT_0136,23,Gimenez,M,2023-02-06,2025-11-29,42.02,1,42.02,Email,8,False,4,1,Électronique,7,11,1,42.02,4,1,1,411,2,Potentiel
CLIENT_0137,47,Perret,F,2025-09-26,2025-12-09,110.86,1,110.86,SEA,25,True,5,0,Maison,2,1,1,110.86,5,1,3,513,2,Potentiel
CLIENT_0138,23,Peronnec,F,2024-07-23,2025-09-11,53.16,2,26.58,Direct,0,False,4,70,Électronique,7,90,2,53.16,4,2,2,422,4,Dormant
CLIENT_0139,41,Leconte-sur-Masson,F,2025-11-20,2025-12-09,180.8,1,180.8,Direct,0,False,5,0,Mode,10,1,1,180.8,5,1,4,514,2,Potentiel
CLIENT_0140,67,Baudry,F,2024-10-07,2025-12-09,65.13,2,32.56,Social,15,True,5,0,Loisirs,10,1,2,65.13,5,2,2,522,2,Potentiel
CLIENT_0141,36,CaronBourg,F,2025-01-01,2025-11-06,43.14,4,10.79,Social,15,False,3,21,Alimentation,2,34,4,43.14,4,4,2,442,1,A risque
CLIENT_0142,40,Delorme,M,2023-04-05,2024-02-18,39.5,2,19.75,Social,15,False,2,649,Alimentation,7,661,2,39.5,1,2,1,121,4,Dormant
CLIENT_0143,38,Grenier,F,2023-04-18,2023-10-03,40.29,1,40.29,Social,15,True,4,798,Loisirs,9,799,1,40.29,1,1,1,111,4,Dormant
CLIENT_0144,32,Meunier,M,2023-05-14,2024-10-08,109.76,4,27.44,Social,15,True,4,425,Alimentation,10,428,4,109.76,2,4,3,243,1,A risque
CLIENT_0145,33,Delorme,M,2023-03-24,2024-05-01,42.73,6,7.12,Email,8,True,3,559,Mode,2,588,6,42.73,2,5,2,252,1,A risque
CLIENT_0146,26,Deschamps,F,2025-09-21,2025-10-15,60.02,3,20.01,Reference,5,False,4,35,Loisirs,4,56,3,60.02,4,3,2,432,1,A risque
CLIENT_0147,45,Baudry,F,2025-02-27,2025-12-09,191.08,2,95.54,SEA,25,True,5,0,Maison,8,1,2,191.08,5,2,4,524,2,Potentiel
CLIENT_0148,36,Barbenec,M,2025-10-24,2025-12-09,1941.37,4,485.34,Email,8,False,4,0,Maison,7,1,4,1941.37,5,4,5,545,0,A risque
CLIENT_0149,55,BonninVille,M,2025-04-14,2025-05-22,33.76,1,33.76,Email,8,True,5,181,Électronique,5,202,1,33.76,3,1,1,311,4,Dormant
CLIENT_0150,24,CaronBourg,F,2023-04-24,2025-01-12,58.54,5,11.71,Social,15,True,2,321,Mode,5,332,5,58.54,3,5,2,352,1,A risque
CLIENT_0151,28,Deschamps,M,2025-08-05,2025-09-04,1648.37,6,274.73,SEA,25,True,5,82,Électronique,3,97,6,1648.37,4,5,5,455,0,A risque
CLIENT_0152,37,Sainte Christophe,M,2024-03-01,2025-02-28,47.13,2,23.57,SEA,25,True,4,263,Loisirs,2,285,2,47.13,3,2,2,322,4,Dormant
CLIENT_0153,36,CaronBourg,M,2024-09-20,2025-12-09,30.15,1,30.15,Social,15,False,1,0,Alimentation,10,1,1,30.15,5,1,1,511,2,Potentiel
CLIENT_0154,18,Baudry,F,2025-04-27,2025-12-01,30.28,1,30.28,Social,15,True,3,0,Loisirs,1,9,1,30.28,4,1,1,411,2,Potentiel
CLIENT_0155,56,Gimenez,F,2025-01-22,2025-12-09,69.71,2,34.85,Email,8,True,3,0,Électronique,7,1,2,69.71,5,2,3,523,2,Potentiel
CLIENT_0156,68,BonninVille,M,2025-02-11,2025-07-12,74.76,5,14.95,Social,15,False,4,125,Maison,8,151,5,74.76,3,5,3,353,1,A risque
CLIENT_0157,52,Gimenez,M,2025-03-03,2025-12-09,439.9,2,219.95,Direct,0,True,5,0,Électronique,10,1,2,439.9,5,2,5,525,2,Potentiel
CLIENT_0158,57,Perret,M,2024-01-01,2025-10-19,137.4,2,68.7,SEA,25,True,3,48,Loisirs,6,52,2,137.4,4,2,4,424,4,Dormant
CLIENT_0159,40,Sainte Christophe,F,2024-09-03,2024-12-17,90.96,1,90.96,Social,15,True,3,341,Électronique,7,358,1,90.96,3,1,3,313,4,Dormant
CLIENT_0160,55,Leconte-sur-Masson,M,2024-04-24,2025-12-09,132.74,2,66.37,Social,15,True,4,0,Alimentation,10,1,2,132.74,5,2,4,524,2,Potentiel
