ClientID,Age,Location,Gender,DatePremierAchat,DateDernierAchat,MontantTotalDepense,FrequenceAchats,PanierMoyen,Canal,CAC_Estime,Newsletter,ScoreSatisfaction,DerniereVisiteSite,CategoriePreferee,ProduitsDifferentsAchetes
CLIENT_0129,67,Perret,F,2025-02-17,2025-12-09,94.69,1,94.69,Direct,0,True,5,0,Mode,6
CLIENT_0130,48,BonninVille,F,2025-07-28,2025-12-09,46.97,1,46.97,Email,8,False,3,0,Alimentation,9
CLIENT_0131,42,Gimenez,F,2023-08-02,2023-09-09,72.26,4,18.07,SEA,25,True,4,805,Alimentation,1
CLIENT_0132,65,Techer-la-Forêt,M,2023-08-05,2023-08-23,730.45,2,365.23,Reference,5,True,5,819,Mode,5
CLIENT_0133,53,Maillard,M,2024-08-18,2025-09-14,336.45,2,168.22,Email,8,False,5,63,Électronique,4
CLIENT_0134,25,Barbenec,F,2024-10-29,2025-04-15,669.25,1,669.25,Reference,5,False,4,228,Loisirs,2
CLIENT_0135,18,Maillard,F,2025-11-15,2025-12-09,7433.77,2,3716.89,Direct,0,True,5,0,Électronique,5
CLIENT_0136,23,Gimenez,M,2023-02-06,2025-11-29,42.02,1,42.02,Email,8,False,4,1,Électronique,7
CLIENT_0137,47,Perret,F,2025-09-26,2025-12-09,110.86,1,110.86,SEA,25,True,5,0,Maison,2
CLIENT_0138,23,Peronnec,F,2024-07-23,2025-09-11,53.16,2,26.58,Direct,0,False,4,70,Électronique,7
CLIENT_0139,41,Leconte-sur-Masson,F,2025-11-20,2025-12-09,180.8,1,180.8,Direct,0,False,5,0,Mode,10
CLIENT_0140,67,Baudry,F,2024-10-07,2025-12-09,65.13,2,32.56,Social,15,True,5,0,Loisirs,10
CLIENT_0141,36,CaronBourg,F,2025-01-01,2025-11-06,43.14,4,10.79,Social,15,False,3,21,Alimentation,2
CLIENT_0142,40,Delorme,M,2023-04-05,2024-02-18,39.5,2,19.75,Social,15,False,2,649,Alimentation,7
CLIENT_0143,38,Grenier,F,2023-04-18,2023-10-03,40.29,1,40.29,Social,15,True,4,798,Loisirs,9
CLIENT_0144,32,Meunier,M,2023-05-14,2024-10-08,109.76,4,27.44,Social,15,True,4,425,Alimentation,10
CLIENT_0145,33,Delorme,M,2023-03-24,2024-05-01,42.73,6,7.12,Email,8,True,3,559,Mode,2
CLIENT_0146,26,Deschamps,F,2025-09-21,2025-10-15,60.02,3,20.01,Reference,5,False,4,35,Loisirs,4
CLIENT_0147,45,Baudry,F,2025-02-27,2025-12-09,191.08,2,95.54,SEA,25,True,5,0,Maison,8
CLIENT_0148,36,Barbenec,M,2025-10-24,2025-12-09,1941.37,4,485.34,Email,8,False,4,0,Maison,7
CLIENT_0149,55,BonninVille,M,2025-04-14,2025-05-22,33.76,1,33.76,Email,8,True,5,181,Électronique,5
CLIENT_0150,24,CaronBourg,F,2023-04-24,2025-01-12,58.54,5,11.71,Social,15,True,2,321,Mode,5
CLIENT_0151,28,Deschamps,M,2025-08-05,2025-09-04,1648.37,6,274.73,SEA,25,True,5,82,Électronique,3
CLIENT_0152,37,Sainte Christophe,M,2024-03-01,2025-02-28,47.13,2,23.57,SEA,25,True,4,263,Loisirs,2
CLIENT_0153,36,CaronBourg,M,2024-09-20,2025-12-09,30.15,1,30.15,Social,15,False,1,0,Alimentation,10
CLIENT_0154,18,Baudry,F,2025-04-27,2025-12-01,30.28,1,30.28,Social,15,True,3,0,Loisirs,1
CLIENT_0155,56,Gimenez,F,2025-01-22,2025-12-09,69.71,2,34.85,Email,8,True,3,0,Électronique,7
CLIENT_0156,68,BonninVille,M,2025-02-11,2025-07-12,74.76,5,14.95,Social,15,False,4,125,Maison,8
CLIENT_0157,52,Gimenez,M,2025-03-03,2025-12-09,439.9,2,219.95,Direct,0,True,5,0,Électronique,10
CLIENT_0158,57,Perret,M,2024-01-01,2025-10-19,137.4,2,68.7,SEA,25,True,3,48,Loisirs,6
CLIENT_0159,40,Sainte Christophe,F,2024-09-03,2024-12-17,90.96,1,90.96,Social,15,True,3,341,Électronique,7
CLIENT_0160,55,Leconte-sur-Masson,M,2024-04-24,2025-12-09,132.74,2,66.37,Social,15,True,4,0,Alimentation,10
CLIENT_0161,35,Delorme,F,2025-06-09,2025-11-25,38.77,2,19.39,Email,8,True,3,0,Mode,3
CLIENT_0162,31,Sainte Genevièvenec,M,2023-05-27,2024-01-09,647.78,2,323.89,Social,15,True,5,683,Maison,8
CLIENT_0163,40,Grenier,F,2025-04-24,2025-12-09,73.14,2,36.57,Social,15,True,4,0,Maison,10
CLIENT_0164,50,Leconte-sur-Masson,F,2022-12-28,2023-04-09,6727.69,3,2242.56,Direct,0,True,5,959,Maison,2
CLIENT_0165,32,BonninVille,M,2025-02-28,2025-05-04,33.12,4,8.28,Email,8,True,3,196,Maison,3
CLIENT_0166,44,Leconte-sur-Masson,M,2023-09-27,2024-01-12,57.88,3,19.29,Direct,0,False,3,693,Loisirs,6
CLIENT_0167,43,Grenier,M,2025-07-19,2025-12-09,37.47,4,9.37,Direct,0,True,4,0,Loisirs,4
CLIENT_0168,43,Leconte-sur-Masson,F,2024-04-02,2024-09-24,141.53,5,28.31,Email,8,False,5,427,Loisirs,7
CLIENT_0169,57,Sainte Christophe,M,2025-03-04,2025-03-13,11303.67,4,2825.92,Email,8,False,5,261,Mode,5
CLIENT_0170,57,Baudry,F,2023-07-24,2025-12-09,43.57,2,21.79,Email,8,True,3,0,Électronique,5
CLIENT_0171,30,Sainte Christophe,F,2023-12-19,2025-02-27,677.46,2,338.73,Direct,0,True,5,282,Alimentation,3
CLIENT_0172,71,Grenier,M,2025-12-02,2025-12-09,887.21,3,295.74,SEA,25,True,5,0,Mode,10
CLIENT_0173,18,Perret,M,2025-01-23,2025-03-13,50.25,1,50.25,Email,8,True,3,264,Électronique,1
CLIENT_0174,41,BonninVille,M,2023-08-30,2023-11-01,250.03,6,41.67,Email,8,True,4,749,Loisirs,7
CLIENT_0175,29,Barbenec,F,2024-01-20,2024-02-06,299.67,1,299.67,Social,15,True,5,647,Mode,6
CLIENT_0176,35,Hubert,F,2025-03-14,2025-12-09,56.53,1,56.53,Social,15,True,4,0,Mode,4
CLIENT_0177,43,Grenier,M,2024-10-22,2025-12-09,35.06,5,7.01,Reference,5,True,3,0,Alimentation,5
CLIENT_0178,41,CaronBourg,M,2024-01-15,2025-12-09,36.08,4,9.02,Email,8,False,3,0,Loisirs,9
CLIENT_0179,58,Perret,F,2023-05-02,2024-05-29,170.72,2,85.36,Email,8,True,4,552,Loisirs,2
CLIENT_0180,42,Delorme,F,2025-10-23,2025-12-09,539.22,2,269.61,Social,15,False,4,0,Maison,6
CLIENT_0181,36,Baudry,M,2023-03-23,2023-06-24,257.74,1,257.74,Email,8,True,3,899,Loisirs,7
CLIENT_0182,50,Sainte Christophe,F,2025-07-25,2025-07-30,347.86,2,173.93,Reference,5,True,5,112,Électronique,1
CLIENT_0183,27,Sainte Margotboeuf,F,2023-12-14,2024-08-09,1017.04,5,203.41,SEA,25,True,5,480,Alimentation,9
CLIENT_0184,42,Grenier,M,2023-12-05,2024-08-23,47.31,5,9.46,Social,15,False,4,467,Mode,9
CLIENT_0185,59,Grenier,M,2023-07-05,2024-05-03,68.03,4,17.01,Social,15,True,4,571,Électronique,2
CLIENT_0186,46,Deschamps,F,2025-10-21,2025-12-09,54.61,8,6.83,Social,15,True,4,0,Maison,8
CLIENT_0187,46,Sainte Margotboeuf,F,2024-01-12,2024-08-06,71.61,4,17.9,Social,15,True,4,485,Mode,10
CLIENT_0188,27,Gimenez,M,2023-01-31,2025-11-20,68.9,3,22.97,Email,8,True,5,3,Alimentation,4
CLIENT_0189,62,Sainte Margotboeuf,M,2023-08-03,2023-12-23,114.37,1,114.37,Direct,0,False,4,709,Mode,7
CLIENT_0190,32,Meunier,M,2024-07-01,2025-05-22,37.02,4,9.26,Social,15,False,4,184,Alimentation,4
CLIENT_0191,38,Barbenec,M,2025-03-09,2025-11-13,62.89,2,31.45,Direct,0,False,3,6,Mode,9
CLIENT_0192,43,Grenier,M,2024-03-12,2024-08-31,127.41,3,42.47,Reference,5,False,4,458,Mode,8
CLIENT_0193,61,Peronnec,F,2025-04-29,2025-12-09,42.29,3,14.1,Email,8,True,3,0,Alimentation,5
CLIENT_0194,26,Sainte Christophe,M,2023-11-11,2025-01-26,176.48,3,58.83,Email,8,True,4,313,Maison,9
CLIENT_0195,29,Peronnec,F,2025-01-10,2025-04-29,46.42,1,46.42,Social,15,False,3,197,Loisirs,6
CLIENT_0196,52,CaronBourg,M,2024-02-11,2025-12-09,513.38,2,256.69,Direct,0,True,5,0,Loisirs,7
CLIENT_0197,50,Sainte Christophe,M,2024-09-11,2025-11-06,31.06,2,15.53,Email,8,False,2,12,Électronique,1
CLIENT_0198,18,Meunier,F,2023-10-25,2023-12-21,11916.01,2,5958.01,Direct,0,True,5,714,Électronique,7
CLIENT_0199,36,CaronBourg,M,2025-04-19,2025-12-09,39.9,3,13.3,Social,15,True,3,0,Alimentation,10
CLIENT_0200,46,Leconte-sur-Masson,F,2023-08-06,2023-09-15,429.78,3,143.26,Social,15,True,4,811,Électronique,1
CLIENT_0201,67,Techer-la-Forêt,F,2023-07-17,2024-03-15,69.62,2,34.81,Social,15,True,4,612,Mode,8
CLIENT_0202,40,Sainte Christophe,M,2023-02-19,2024-09-12,24055.71,2,12027.85,Email,8,True,5,442,Maison,5
CLIENT_0203,58,Delorme,M,2024-09-22,2024-10-13,385.09,3,128.36,SEA,25,True,3,407,Loisirs,1
CLIENT_0204,60,Sanchez,M,2024-09-07,2025-10-29,35.85,2,17.93,Social,15,False,4,16,Maison,10
CLIENT_0205,36,Meunier,F,2024-09-02,2025-01-08,69.82,2,34.91,SEA,25,True,3,308,Mode,6
CLIENT_0206,41,Maillard,M,2023-02-01,2023-05-18,35.24,4,8.81,Social,15,False,4,921,Alimentation,10
CLIENT_0207,69,Techer-la-Forêt,M,2025-03-11,2025-03-12,41.26,2,20.63,Email,8,True,3,254,Maison,8
CLIENT_0208,64,Grenier,F,2024-10-13,2025-12-09,110.24,5,22.05,SEA,25,False,5,0,Mode,6
CLIENT_0209,50,Sanchez,M,2024-05-27,2024-11-16,46.29,4,11.57,Direct,0,False,3,374,Loisirs,1
CLIENT_0210,29,Deschamps,F,2024-07-25,2025-08-24,142.11,3,47.37,Social,15,False,3,88,Loisirs,8
CLIENT_0211,47,Delorme,M,2024-05-17,2024-06-07,64.99,4,16.25,SEA,25,False,2,541,Mode,8
CLIENT_0212,33,Sainte Genevièvenec,M,2024-08-28,2025-02-19,172.03,2,86.02,SEA,25,True,5,282,Mode,9
CLIENT_0213,45,Maillard,M,2025-11-08,2025-12-09,51.99,1,51.99,Email,8,True,2,0,Maison,5
CLIENT_0214,52,Sanchez,F,2023-07-11,2023-07-13,2227.38,3,742.46,Email,8,True,5,857,Électronique,7
CLIENT_0215,49,Meunier,F,2024-10-26,2025-01-29,46.56,2,23.28,SEA,25,False,3,307,Électronique,6
CLIENT_0216,44,Sainte Margotboeuf,M,2024-09-11,2024-09-15,53.84,4,13.46,Email,8,True,4,427,Maison,2
CLIENT_0217,61,Delorme,F,2025-06-11,2025-12-09,47.56,1,47.56,Social,15,True,4,0,Mode,7
CLIENT_0218,37,BonninVille,F,2023-01-23,2023-11-06,116.48,4,29.12,Social,15,True,3,746,Mode,3
CLIENT_0219,73,Deschamps,M,2024-02-15,2024-03-23,59.54,2,29.77,Social,15,True,5,609,Alimentation,7
CLIENT_0220,48,Sainte Genevièvenec,M,2024-09-18,2025-12-09,45.58,7,6.51,SEA,25,True,5,0,Électronique,7
